;EventTime;Origin;Destination
207;2022.6136199999999;South Africa;Bonaire
208;2022.4739;South Africa;United Kingdom
209;2022.6739;South Africa;Ghana
210;2022.42732;South Africa;Costa Rica
211;2022.50677;South Africa;Bosnia and Herzegovina
212;2022.36204;South Africa;Saint Lucia
213;2022.4437599999999;Saint Lucia;Iceland
214;2022.46293;South Africa;Mozambique
215;2022.31928;South Africa;Lesotho
216;2022.42731;Lesotho;South Korea
217;2022.69307;Lesotho;USA
218;2022.73142;Lesotho;Iceland
219;2022.46161;Lesotho;Sint Maarten
220;2022.5203099999999;Sint Maarten;Finland
221;2022.68759;Finland;Djibouti
222;2022.54512;South Africa;Qatar
223;2022.54786;South Africa;Austria
224;2022.34788;South Africa;Eswatini
225;2022.68211;Eswatini;Ecuador
226;2022.57526;Eswatini;Cook Islands
227;2022.44882;Eswatini;Paraguay
228;2022.75882;Paraguay;Argentina
229;2022.50677;South Africa;Bermuda
230;2022.63005;South Africa;Lesotho
231;2022.54786;South Africa;Zambia
232;2022.38294;South Africa;Mozambique
233;2022.50677;Mozambique;Cook Islands
234;2022.65197;Mozambique;Chile
235;2022.75882;Mozambique;Russia
236;2022.74239;Mozambique;Norway
237;2022.25025;South Africa;Bangladesh
238;2022.3669399999999;Bangladesh;Saint Martin
239;2022.56978;Saint Martin;Morocco
240;2022.6054;Saint Martin;Austria
241;2022.48211;Bangladesh;Trinidad and Tobago
242;2022.4903299999999;Bangladesh;New Zealand
243;2022.63827;Bangladesh;Chile
244;2022.47389;Bangladesh;China
245;2022.55608;China;Vanuatu
246;2022.45198;South Africa;Paraguay
247;2022.5478699999999;South Africa;Russia
248;2022.6054;South Africa;Ireland
249;2022.50403;South Africa;Bosnia and Herzegovina
250;2022.74238;South Africa;Kenya
251;2022.58348;South Africa;Slovakia
252;2022.28102;South Africa;Botswana
253;2022.41636;South Africa;Zimbabwe
254;2022.72047;South Africa;North Macedonia
255;2022.39503;South Africa;Italy
256;2022.69033;Italy;Romania
257;2022.3528099999999;South Africa;Lesotho
258;2022.46842;Lesotho;Malawi
259;2022.74239;Lesotho;Jordan
260;2022.4191;South Africa;Botswana
261;2022.38167;South Africa;Gabon
